,player,age,ws_3,mp_3,ws_2,mp_2,ws_1,mp_1,ws_target,mp_target,proj_marcel
842,Andre Iguodala,28.0,0.134,3269.0,0.101,3193.0,0.13,2469.0,0.158,2209.0,0.117166932322
844,Iman Shumpert,24.0,0.068,1705.0,0.094,996.0,0.048,1962.0,0.047,1545.0,0.080712187894
845,Ray Allen,24.0,0.092,2532.0,0.102,3287.0,0.146,1719.0,0.157,3070.0,0.121215469798
847,Caron Butler,32.0,0.061,2783.0,0.067,867.0,0.059,1871.0,0.091,1879.0,0.0813398458656
849,Pau Gasol,34.0,0.165,2430.0,0.107,1655.0,0.076,1884.0,0.187,2681.0,0.0962418417446
853,Steve Nash,35.0,0.225,2682.0,0.181,2780.0,0.14,2484.0,0.178,2660.0,0.138893577798
855,Antonio Davis,34.0,0.118,2479.0,0.127,2729.0,0.105,2978.0,0.055,1894.0,0.109496861077
857,Al Harrington,25.0,0.075,2467.0,0.116,2441.0,0.03,2550.0,0.065,2782.0,0.0744287832137
858,Dirk Nowitzki,28.0,0.19,2915.0,0.248,3020.0,0.275,3089.0,0.278,2820.0,0.218752424208
859,Charlie Bell,29.0,0.123,1283.0,0.068,2848.0,0.038,1628.0,0.059,1783.0,0.0750199148443
861,Matt Barnes,33.0,0.142,1020.0,0.142,1440.0,0.146,2058.0,0.097,1735.0,0.129305365345
862,David Wesley,29.0,0.097,2991.0,0.098,2845.0,0.124,1848.0,0.106,2760.0,0.111506585011
865,Michael Curry,31.0,0.126,1217.0,0.071,1978.0,0.07,1146.0,0.06,1611.0,0.0898436200465
867,Troy Murphy,24.0,0.046,1448.0,0.122,2510.0,0.104,610.0,0.107,2375.0,0.112416193638
869,Rafer Alston,28.0,0.059,600.0,0.059,980.0,0.11,2581.0,0.098,2717.0,0.105296336364
873,Rashard Lewis,30.0,0.155,2348.0,0.153,3076.0,0.16,2859.0,0.132,2369.0,0.142533302169
874,Drew Gooden,24.0,0.043,1873.0,0.043,2134.0,0.163,2523.0,0.145,2174.0,0.124197673163
875,Derek Anderson,26.0,0.139,1839.0,0.105,978.0,0.073,2201.0,0.166,2859.0,0.0932540074157
876,Chuck Hayes,29.0,0.098,1773.0,0.146,2079.0,0.028,1039.0,0.06,1209.0,0.0953796977301
878,Rodney Rogers,28.0,0.056,2480.0,0.063,2499.0,0.062,968.0,0.154,2286.0,0.0842372844563
879,Damon Stoudamire,25.0,0.072,2865.0,0.11,3311.0,0.079,2839.0,0.102,1673.0,0.0959062706499
882,Keyon Dooling,24.0,-0.01,155.0,0.016,969.0,0.013,1137.0,0.061,1184.0,0.0674107727432
883,Stephen Jackson,29.0,0.082,1806.0,0.073,2910.0,0.079,2479.0,0.077,2855.0,0.0877977915774
884,Jon Barry,31.0,0.116,374.0,0.156,736.0,0.157,1281.0,0.114,1010.0,0.130391053355
886,Antonio McDyess,33.0,0.154,1797.0,0.128,1733.0,0.168,1729.0,0.141,2285.0,0.135170439059
888,Gerald Henderson,27.0,0.026,1831.0,0.073,2133.0,0.071,2461.0,0.074,2315.0,0.084311120966
889,Luis Scola,31.0,0.165,2488.0,0.114,2671.0,0.11,2412.0,0.08,2067.0,0.111626411273
890,Donyell Marshall,26.0,0.059,1022.0,0.078,2611.0,0.117,1250.0,0.088,2071.0,0.103906580975
891,Grant Hill,26.0,0.172,3260.0,0.223,3147.0,0.149,3294.0,0.189,1852.0,0.154298211342
894,Jared Jeffries,24.0,0.049,292.0,0.014,1913.0,0.063,2007.0,0.076,1951.0,0.0745906416449
895,Channing Frye,26.0,0.024,1896.0,0.114,1342.0,0.054,746.0,0.141,2190.0,0.0954494441504
896,Devin Harris,25.0,0.139,1275.0,0.151,2081.0,0.132,2022.0,0.145,2494.0,0.128379798096
897,Kawhi Leonard,23.0,0.171,1534.0,0.166,1810.0,0.193,1923.0,0.204,2033.0,0.157630746072
898,Richard Jefferson,24.0,0.117,1917.0,0.164,2879.0,0.168,3133.0,0.086,1355.0,0.151328890106
900,Tierre Brown,25.0,0.006,403.0,0.044,168.0,-0.497,17.0,-0.021,1066.0,0.102142787616
903,Jason Terry,31.0,0.165,2798.0,0.182,2846.0,0.16,2579.0,0.14,2491.0,0.147470421817
904,Mitch Richmond*,35.0,0.148,2569.0,0.082,1912.0,0.104,2397.0,0.065,1216.0,0.102683723134
906,Scott Williams,32.0,0.101,801.0,-0.054,46.0,0.124,1488.0,0.128,1272.0,0.113966214754
907,Vince Carter,28.0,0.14,2385.0,0.136,1471.0,0.103,2785.0,0.159,2828.0,0.110082311347
909,Jon Barry,35.0,0.18,1985.0,0.183,1473.0,0.122,1101.0,0.125,1505.0,0.125998386068
910,Erick Dampier,33.0,0.119,1934.0,0.16,1915.0,0.165,1755.0,0.161,1836.0,0.138651410605
911,Peja Stojakovic,25.0,0.133,1749.0,0.168,2905.0,0.179,2649.0,0.199,2450.0,0.155416390913
912,Elton Brand,27.0,0.174,2670.0,0.169,3001.0,0.229,3099.0,0.18,3077.0,0.181537822457
913,Ryan Anderson,24.0,0.161,911.0,0.216,1424.0,0.219,1964.0,0.125,2503.0,0.174880598472
914,Robin Lopez,25.0,0.074,991.0,0.115,895.0,0.126,2136.0,0.176,2603.0,0.118887415575
915,Al Harrington,28.0,0.065,2782.0,0.08,2563.0,0.118,2190.0,0.073,2546.0,0.105712559154
916,Gordon Hayward,23.0,0.048,1218.0,0.116,2015.0,0.123,2104.0,0.062,2800.0,0.117830889086
917,Amar'e Stoudemire,28.0,0.262,2677.0,0.149,1948.0,0.181,2838.0,0.134,2870.0,0.155425405642
918,Gerald Wallace,29.0,0.172,2669.0,0.177,3119.0,0.111,2693.0,0.112,2076.0,0.126187849144
920,Raja Bell,29.0,0.069,1173.0,0.088,2020.0,0.06,1790.0,0.11,2959.0,0.085496173691
921,Mark Madsen,28.0,0.085,641.0,0.142,650.0,0.069,781.0,0.103,1246.0,0.101605578993
922,Serge Ibaka,24.0,0.164,2216.0,0.167,1792.0,0.181,2486.0,0.173,2666.0,0.155502232813
923,Jason Maxiell,26.0,0.091,943.0,0.171,1768.0,0.141,1408.0,0.081,1550.0,0.132275590258
924,Sasha Pavlovic,23.0,0.04,1144.0,0.046,862.0,0.03,813.0,0.098,1534.0,0.0816691182682
925,Shaun Livingston,28.0,0.073,1261.0,0.055,1092.0,0.086,1455.0,0.108,1974.0,0.0936579265766
926,Darko Milicic,22.0,-0.031,254.0,0.073,767.0,0.082,1913.0,0.006,1663.0,0.0957476651038
927,Marquis Daniels,27.0,0.086,1412.0,0.114,1766.0,0.036,800.0,0.028,1546.0,0.0935309100592
929,Milt Palacio,24.0,-0.041,394.0,0.076,1141.0,0.05,790.0,0.004,1976.0,0.0900271011953
930,Andrei Kirilenko,29.0,0.154,2217.0,0.122,1831.0,0.171,1681.0,0.109,1999.0,0.136067045456
931,Stephon Marbury,28.0,0.142,3240.0,0.134,3254.0,0.171,3281.0,0.084,2193.0,0.145548401767
933,Rasho Nesterovic,25.0,-0.049,30.0,0.082,1723.0,0.06,1233.0,0.089,2218.0,0.0895380087139
935,Eric Gordon,24.0,0.069,2229.0,0.12,2112.0,0.115,310.0,0.042,1264.0,0.113001206492
936,Sean Rooks,31.0,0.13,425.0,0.052,315.0,0.051,1001.0,0.07,1553.0,0.0875739204348
937,Marcus Camby,36.0,0.148,2758.0,0.129,1925.0,0.142,2314.0,0.116,1540.0,0.126421915538
938,Kendrick Perkins,24.0,0.082,1332.0,0.042,1576.0,0.156,1912.0,0.119,2253.0,0.120927606554
942,Gilbert Arenas,24.0,0.109,2866.0,0.061,2066.0,0.169,3274.0,0.193,3384.0,0.136498749363
943,Matt Barnes,32.0,0.135,2097.0,0.142,1020.0,0.142,1440.0,0.146,2058.0,0.125112431648
944,Tony Delk,29.0,0.09,682.0,0.096,2288.0,0.084,1447.0,0.117,1873.0,0.0977090838033
945,David Lee,30.0,0.11,2634.0,0.113,2121.0,0.15,2907.0,0.16,2288.0,0.129790962195
949,George Lynch,32.0,0.116,2416.0,0.118,2649.0,0.038,893.0,0.113,1497.0,0.0955338915455
950,Pau Gasol,32.0,0.22,2403.0,0.232,3037.0,0.165,2430.0,0.107,1655.0,0.16172113939
951,Jermaine O'Neal,30.0,0.131,1802.0,0.091,2459.0,0.035,1206.0,0.06,2027.0,0.0841050011798
952,Brian Grant,30.0,0.128,1322.0,0.151,2771.0,0.103,2256.0,0.139,2641.0,0.115534930567
953,Channing Frye,28.0,0.054,746.0,0.141,2190.0,0.09,2541.0,0.106,1669.0,0.105169345556
955,Rasho Nesterovic,27.0,0.06,1233.0,0.089,2218.0,0.107,2337.0,0.147,2353.0,0.104530452172
956,Eric Piatkowski,30.0,0.108,1740.0,0.091,1242.0,0.064,1712.0,0.123,2144.0,0.0884919616223
957,Luol Deng,23.0,0.12,2604.0,0.176,3071.0,0.098,2128.0,0.085,1665.0,0.123322312617
959,Avery Johnson,36.0,0.111,1672.0,0.117,2571.0,0.098,1290.0,0.106,1352.0,0.106333952896
960,Erick Dampier,34.0,0.16,1915.0,0.165,1755.0,0.161,1836.0,0.14,1280.0,0.138819631908
961,Rick Fox,31.0,0.093,2709.0,0.091,944.0,0.104,1473.0,0.107,2291.0,0.104347402897
962,Jameer Nelson,29.0,0.22,1309.0,0.13,1860.0,0.136,2319.0,0.099,1706.0,0.126473852493
963,Lou Williams,26.0,0.13,1912.0,0.141,1747.0,0.174,1682.0,0.103,1119.0,0.141085080501
965,David Wesley,31.0,0.124,1848.0,0.106,2760.0,0.117,3106.0,0.05,2487.0,0.112268490569
968,Mike Bibby,27.0,0.146,1835.0,0.151,2980.0,0.133,3084.0,0.127,3167.0,0.130350988288
970,Steve Francis,26.0,0.184,3194.0,0.091,2343.0,0.16,3318.0,0.107,3194.0,0.136563542541
971,Brent Barry,31.0,0.131,2726.0,0.157,1778.0,0.191,3040.0,0.141,2480.0,0.157766431921
972,Tim Thomas,30.0,0.054,1940.0,0.065,666.0,0.092,2054.0,0.042,1940.0,0.0965018450821
973,Tony Allen,30.0,0.085,887.0,0.1,889.0,0.152,1494.0,0.131,1525.0,0.124560884827
977,Blue Edwards,32.0,0.053,1112.0,0.032,2773.0,-0.003,1439.0,0.052,1968.0,0.0530182685544
978,Shandon Anderson,27.0,0.127,1602.0,0.088,1072.0,0.087,2700.0,0.078,2396.0,0.0966208594532
979,Richard Hamilton,30.0,0.13,2825.0,0.141,2763.0,0.152,2424.0,0.095,2279.0,0.13440797968
980,Shannon Brown,24.0,0.015,202.0,-0.102,240.0,0.067,477.0,0.096,1700.0,0.0939724228978
981,Mark Jackson,37.0,0.146,2190.0,0.11,2588.0,0.123,2367.0,0.037,1467.0,0.114391376245
982,Lou Williams,24.0,0.112,1862.0,0.085,1919.0,0.13,1912.0,0.141,1747.0,0.115695579331
984,Samuel Dalembert,26.0,0.104,1785.0,0.097,1761.0,0.117,2535.0,0.121,2724.0,0.112250361674
986,Allen Iverson*,27.0,0.116,2853.0,0.19,2979.0,0.126,2622.0,0.127,3485.0,0.134369183037
987,Andris Biedrins,24.0,0.185,2078.0,0.139,1863.0,0.101,763.0,0.088,1397.0,0.118932184731
988,Mike Bibby,31.0,0.076,2784.0,0.063,1573.0,0.121,2740.0,0.104,2195.0,0.108073729061
989,Sam Cassell,33.0,0.152,2899.0,0.15,2709.0,0.158,2605.0,0.171,2700.0,0.139196250714
992,Tony Delk,31.0,0.084,1447.0,0.117,1873.0,0.08,509.0,0.074,1340.0,0.105447659028
993,Tyson Chandler,31.0,0.218,2059.0,0.22,2061.0,0.207,2164.0,0.143,1662.0,0.172100411778
994,Tom Gugliotta,28.0,0.065,2568.0,0.089,2835.0,0.103,3131.0,0.151,1582.0,0.101426928903
997,Tony Battie,25.0,0.139,1121.0,0.12,1505.0,0.131,845.0,0.164,1819.0,0.118899072915
998,Matt Barnes,31.0,0.069,2082.0,0.135,2097.0,0.142,1020.0,0.142,1440.0,0.121657913733
999,Vitaly Potapenko,25.0,0.052,1412.0,0.076,1394.0,0.066,1797.0,0.087,1901.0,0.0869961409888
1000,Chuck Hayes,28.0,0.092,858.0,0.098,1773.0,0.146,2079.0,0.028,1039.0,0.123615291996
1001,David Robinson*,34.0,0.227,147.0,0.269,2457.0,0.261,1554.0,0.238,2557.0,0.196593656297
1004,Aaron McKie,25.0,0.115,827.0,0.113,2259.0,0.103,1625.0,0.036,1813.0,0.109343138813
1006,Damon Jones,31.0,0.162,2576.0,0.077,2089.0,0.097,1173.0,0.108,1336.0,0.10068589729
1007,Vlade Divac,29.0,0.162,2807.0,0.119,2470.0,0.123,2840.0,0.157,1805.0,0.119061022162
1008,Greg Buckner,30.0,0.024,703.0,0.153,1522.0,0.103,1758.0,0.076,1372.0,0.111951459574
1010,Mehmet Okur,30.0,0.158,2664.0,0.134,2390.0,0.148,2409.0,0.126,2149.0,0.132054803541
1011,Jermaine O'Neal,27.0,0.177,2864.0,0.155,2788.0,0.118,1530.0,0.131,1802.0,0.126510268805
1013,Jason Williams,26.0,0.055,1805.0,0.026,2760.0,0.079,2290.0,0.02,2236.0,0.0786314354521
1014,Gerald Henderson,26.0,0.068,1661.0,0.026,1831.0,0.073,2133.0,0.071,2461.0,0.0804087043676
1016,Eric Snow,25.0,0.061,389.0,0.117,775.0,0.067,918.0,0.105,1716.0,0.0987831142482
1017,Rasheed Wallace,27.0,0.169,1414.0,0.156,2845.0,0.18,2940.0,0.158,2963.0,0.154124611213
1018,Anthony Parker,34.0,0.127,2437.0,0.113,2634.0,0.063,2637.0,0.103,2289.0,0.0883612693496
1020,Sean Elliott,32.0,0.065,1012.0,0.113,1509.0,0.067,391.0,0.118,1229.0,0.102969503159
1021,Glen Davis,25.0,0.128,940.0,0.108,1637.0,0.084,933.0,0.102,2298.0,0.104196201882
1022,Rudy Gay,25.0,0.054,2945.0,0.096,3175.0,0.123,2152.0,0.12,2422.0,0.111051720201
1024,Shawn Marion,33.0,0.101,2470.0,0.1,2385.0,0.12,2253.0,0.092,1919.0,0.110925235929
1027,Tayshaun Prince,31.0,0.098,3057.0,0.091,1664.0,0.062,2562.0,0.048,2087.0,0.0834209500038
1028,Steve Nash,29.0,0.169,2387.0,0.167,2837.0,0.206,2711.0,0.162,2612.0,0.166408822711
1029,Rasheed Wallace,35.0,0.123,2419.0,0.155,2346.0,0.114,2123.0,0.096,1780.0,0.118776487805
1030,Eddie Jones,26.0,0.122,1981.0,0.15,2184.0,0.154,2998.0,0.166,2910.0,0.139730536294
1032,Terrell Brandon,29.0,0.181,2868.0,0.136,1784.0,0.126,1217.0,0.159,2587.0,0.122521746072
1033,Keith Bogans,28.0,0.058,1912.0,0.08,990.0,0.106,2198.0,0.096,1272.0,0.103941682484
1034,Steve Smith,31.0,0.171,2857.0,0.162,1314.0,0.186,2689.0,0.155,2542.0,0.155025620401
1035,Lance Stephenson,23.0,-0.093,115.0,-0.031,442.0,0.115,2278.0,0.13,2752.0,0.108375275243
1037,Raymond Felton,24.0,0.051,2406.0,0.039,2832.0,0.054,2972.0,0.066,3086.0,0.0691393440992
1039,Matt Barnes,27.0,0.028,715.0,0.075,631.0,0.099,1813.0,0.077,1414.0,0.102078824251
1041,Shane Battier,30.0,0.153,2839.0,0.144,2988.0,0.135,2907.0,0.123,2031.0,0.129154648228
1042,Eddy Curry,22.0,0.075,1150.0,0.107,1571.0,0.066,2154.0,0.115,1808.0,0.0911556349843
1043,Wesley Matthews,27.0,0.126,2758.0,0.104,2228.0,0.093,2403.0,0.142,2780.0,0.102231322293
1044,Greg Ostertag,25.0,0.104,661.0,0.156,1818.0,0.084,1288.0,0.136,1340.0,0.111400740784
1045,James Posey,27.0,0.08,2255.0,0.058,2238.0,0.104,2518.0,0.195,2451.0,0.0979562605907
1046,Shawn Marion,29.0,0.191,3146.0,0.214,3263.0,0.191,3010.0,0.153,2315.0,0.171757854158
1048,Lindsey Hunter,34.0,0.059,1616.0,-0.041,673.0,0.067,661.0,0.058,1144.0,0.0829336704466
1049,Antawn Jamison,35.0,0.126,3096.0,0.115,2406.0,0.067,1842.0,0.07,2151.0,0.0941116704548
1050,Blake Griffin,25.0,0.185,2392.0,0.196,2598.0,0.205,2863.0,0.183,2356.0,0.174956757024
1051,C.J. Miles,22.0,-0.062,373.0,0.134,689.0,0.086,1623.0,0.061,1497.0,0.102771170334
1052,Cory Joseph,23.0,0.001,266.0,0.113,388.0,0.148,936.0,0.149,1444.0,0.123694122238
1055,Stephen Jackson,31.0,0.079,2479.0,0.077,2855.0,0.045,2339.0,0.077,3129.0,0.0742156828909
1056,Charlie Ward,28.0,0.064,787.0,0.099,1763.0,0.148,2317.0,0.094,1556.0,0.125528812615
1059,John Starks,34.0,0.136,2042.0,0.101,2188.0,0.085,1686.0,0.026,1190.0,0.0985173767744
1060,Lindsey Hunter,31.0,0.109,1755.0,0.093,2919.0,0.109,2002.0,0.059,1616.0,0.104931663873
1064,Troy Murphy,29.0,0.116,1852.0,0.141,2106.0,0.165,2482.0,0.159,2344.0,0.140321484813
1065,Chris Bosh,27.0,0.159,2928.0,0.182,2526.0,0.177,2795.0,0.165,2007.0,0.156535280727
1066,Ty Lawson,26.0,0.153,2103.0,0.157,2124.0,0.141,2513.0,0.136,2222.0,0.134097917526
1069,Dahntay Jones,26.0,-0.114,154.0,0.066,649.0,0.029,967.0,0.019,1671.0,0.0809355402403
1071,Chauncey Billups,24.0,0.065,2216.0,0.075,1488.0,0.023,305.0,0.098,1790.0,0.0927870908017
1073,Jim Jackson,31.0,0.101,1175.0,0.049,2767.0,0.003,1690.0,0.073,1825.0,0.0570864703581
1074,Marreese Speights,24.0,0.146,1263.0,0.101,1016.0,0.11,734.0,0.096,1345.0,0.111335305513
1076,Earl Watson,30.0,0.044,2152.0,0.061,2269.0,-0.005,1776.0,0.055,2322.0,0.0548678593256
1077,Grant Hill,27.0,0.223,3147.0,0.149,3294.0,0.189,1852.0,0.185,2776.0,0.152508926083
1079,Isaiah Rider,28.0,0.093,2563.0,0.099,2786.0,0.086,1385.0,0.037,2084.0,0.0992648210237
1080,Deron Williams,26.0,0.177,3059.0,0.16,2505.0,0.177,2802.0,0.142,2465.0,0.153877038826
1081,Dana Barros,31.0,0.116,2328.0,0.065,708.0,0.16,1686.0,0.139,1156.0,0.127097638261
1082,Jerry Stackhouse,28.0,0.111,3148.0,0.137,3215.0,0.104,2685.0,0.114,2747.0,0.113193953525
1084,Michael Curry,34.0,0.06,1611.0,0.055,1485.0,0.057,1912.0,0.06,1555.0,0.0778415729402
1086,Hubert Davis,27.0,0.136,1697.0,0.151,1773.0,0.01,623.0,0.068,2378.0,0.101458268333
1087,Shawn Kemp,32.0,0.205,1475.0,0.077,2492.0,0.041,1083.0,0.074,1232.0,0.0848173726135
1089,Karl Malone*,37.0,0.259,3030.0,0.252,1832.0,0.249,2947.0,0.217,2895.0,0.200765833074
1090,Rasheed Wallace,33.0,0.127,2687.0,0.154,2780.0,0.123,2419.0,0.155,2346.0,0.123775017746
1091,Steve Blake,34.0,0.04,1237.0,0.097,1175.0,0.058,1498.0,0.066,1529.0,0.0860602375278
1093,Leandro Barbosa,29.0,0.141,1705.0,0.065,786.0,0.052,1395.0,0.06,1382.0,0.084870009577
1094,Raja Bell,31.0,0.06,1790.0,0.11,2959.0,0.095,2917.0,0.082,2646.0,0.10123828675
1095,C.J. Watson,27.0,0.084,1883.0,0.082,1788.0,0.093,1091.0,0.109,1159.0,0.0992112603519
1096,Ronnie Brewer,25.0,0.178,2088.0,0.126,2605.0,0.103,1742.0,0.147,1781.0,0.114191443361
1099,Ramon Sessions,27.0,0.099,2133.0,0.104,1707.0,0.084,1652.0,0.094,2214.0,0.0991554798826
1101,Nene Hilario,26.0,-1.312,3.0,0.148,1715.0,0.052,266.0,0.177,2510.0,0.114673667371
1102,Jumaine Jones,25.0,0.074,2142.0,0.062,2204.0,0.019,373.0,0.097,1830.0,0.0858523952701
1104,Evan Turner,25.0,0.06,1797.0,0.068,1713.0,0.035,2892.0,0.027,2457.0,0.0655767318983
1109,Vince Carter,27.0,0.208,2979.0,0.14,2385.0,0.136,1471.0,0.103,2785.0,0.129547669087
1110,Lou Amundson,27.0,0.039,89.0,0.043,64.0,0.082,1044.0,0.118,1168.0,0.0996126385709
1112,Tony Parker,28.0,0.146,2312.0,0.168,2456.0,0.101,1728.0,0.156,2528.0,0.120095584919
1114,Mario Chalmers,27.0,0.089,1579.0,0.112,1825.0,0.12,2068.0,0.106,2178.0,0.114535538687
1116,Andrew DeClercq,25.0,0.102,203.0,0.07,1065.0,0.108,1523.0,0.136,1102.0,0.105755730998
1117,Grant Long,32.0,0.134,3008.0,0.107,1166.0,0.104,739.0,0.17,1380.0,0.10861343167
1120,Greivis Vasquez,27.0,0.03,860.0,0.064,1706.0,0.067,2685.0,0.097,1779.0,0.0816335541285
1122,Mo Williams,29.0,0.165,2834.0,0.136,2359.0,0.026,1788.0,0.093,1472.0,0.0859273670609
1123,Travis Best,28.0,0.103,1547.0,0.097,1043.0,0.145,1691.0,0.14,2457.0,0.122787127454
1124,Stephon Marbury,22.0,0.077,2324.0,0.082,3112.0,0.134,1895.0,0.123,2881.0,0.113447621341
1125,Tyson Chandler,25.0,0.183,2189.0,0.123,2121.0,0.15,2525.0,0.172,2783.0,0.134139072477
1126,Mark Jackson,34.0,0.097,3054.0,0.15,2413.0,0.134,1382.0,0.146,2190.0,0.124205353033
1127,Khalid Reeves,25.0,0.115,1462.0,0.064,833.0,0.041,1432.0,0.062,1950.0,0.080382461243
1128,Patrick Ewing*,37.0,0.163,2887.0,0.168,848.0,0.123,1300.0,0.113,2035.0,0.120339905076
